,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
63,GHC-uid,GHC,uid,24366,59270,8,0.66015625,0.7983417436770428,0.6201936376210235,0.7762373860114982,0.8930327868852459,0.8850565089995814,84758.9713076999,1.4300484445368635,3.47857552769022,0.18349153126370604,,966974.5574009976,,,,2
64,GHC-comp,GHC,comp,24366,67038,10,0.4930467762326169,0.7241686105491326,0.3899326479971641,0.6592505559331688,0.917827868852459,0.8721111689083748,85747.44293839758,1.279087128768722,3.519143188803972,0.17060430536267934,,983273.6409040081,,,,2
65,GHC-compUid,GHC,compUid,24366,67038,10,0.5077105575326216,0.7305851206413809,0.6035470668485676,0.7705248775681179,0.9149590163934426,0.8920264546332763,90173.3812482009,1.3451084645753288,3.7007872136666213,0.16526651686355173,,1024071.883793993,,,,2
66,GHC-sbertbase,GHC,sbertbase,24366,67038,10,0.5013574660633483,0.7188474216509693,0.46133117758016706,0.6875892624529719,0.8870901639344262,0.851452775507171,86001.30042440013,1.2828738987499648,3.529561701731927,0.16439184130194545,,980414.7306269987,,,,2
67,GHC-uid,GHC,uid,24366,67038,10,0.5075000000000001,0.7317633928571429,0.6002607561929596,0.7669183671774625,0.9192622950819672,0.886081593222858,89935.26489221258,1.3415565036578148,3.6910147292215623,0.16944094346797867,,1024339.3475961639,,,,2
68,GHC-comp,GHC,comp,24366,74127,12,0.5278654048370138,0.7384474032926129,0.44361975449614616,0.684690309960525,0.9079918032786886,0.8690012098400323,94162.17292980017,1.2702817182646022,3.8644903935730186,0.16697925445249792,,1077866.7745570054,,,,2
69,GHC-compUid,GHC,compUid,24366,74127,12,0.5533980582524272,0.7503530955637852,0.6032535020334387,0.766964295430458,0.9057377049180327,0.8819733835192902,102148.23456809991,1.378016573827349,4.192244708532377,0.17071135453883493,,1160783.5702240008,,,,2
70,GHC-sbertbase,GHC,sbertbase,24366,74127,12,0.5178907721280602,0.7295133327184333,0.45738045738045735,0.6883937951561852,0.8950819672131147,0.8596585562575615,93436.87743799965,1.2604972201491986,3.83472369030615,0.15980778616832883,,1064765.5158149865,,,,2
71,GHC-uid,GHC,uid,24366,74127,12,0.5205761316872428,0.73377463844262,0.5812734082397004,0.7580748618612971,0.9045081967213114,0.8872832369942196,98821.08564709779,1.3331321333265582,4.055695873228999,0.16709943692042908,,1124551.1516919797,,,,2
72,GHC-comp,GHC,comp,27665,80972,14,0.5392620624408704,0.7453029265146704,0.43818380743982505,0.6833651939168095,0.9119826495572022,0.8732177026109499,98847.0184673004,1.220755550897846,3.572999040928986,0.15717296145333856,,1128495.6253960007,,,,2
73,GHC-compUid,GHC,compUid,27665,80972,14,0.5505154639175258,0.7536650219746107,0.5884732052578362,0.765620980045778,0.9212000722935116,0.8995123757792729,110992.14395869985,1.370747220751616,4.012005926575089,0.1678981125747131,,1259703.1044339945,,,,2
74,GHC-sbertbase,GHC,sbertbase,27665,80972,14,0.5317725752508361,0.7375174932991769,0.4465733235077377,0.6835245636987348,0.8987890836797398,0.8609345102154188,101364.26377040043,1.251843399822166,3.663989292260995,0.1560847655238847,,1153210.931768004,,,,2
75,GHC-uid,GHC,uid,27665,80972,14,0.46153846153846156,0.7099865966798703,0.5599122566493008,0.7520479384446296,0.9228266763058015,0.9009320412320228,110935.32365290048,1.3700454929222508,4.00995205685525,0.16809109041643816,,1257313.7706720026,,,,2
76,GHC-comp,GHC,comp,27665,85699,16,0.5308641975308643,0.7428444229183944,0.39855675825700804,0.6639909666549656,0.9175853967106452,0.8736737787105049,112982.49882159996,1.3183642612119157,4.083950797816734,0.16655287163443724,,1286978.455137996,,,,2
77,GHC-compUid,GHC,compUid,27665,85699,16,0.5672797676669894,0.7613633962425448,0.589402480270575,0.7642222122505755,0.9192120007229351,0.8938440013990906,120769.20492859972,1.4092253693578656,4.3654149621760245,0.16865332601197255,,1364564.9563199985,,,,2
78,GHC-sbertbase,GHC,sbertbase,27665,85699,16,0.5389755011135857,0.737540019308722,0.4680761984509106,0.6910155127908612,0.8877643231519972,0.8518712836656174,111849.54633929992,1.3051441246607303,4.042998241073556,0.15886506336947176,,1267240.723965002,,,,2
79,GHC-uid,GHC,uid,27665,85699,16,0.571157495256167,0.7630058351230895,0.5944024877832074,0.7665698273982802,0.9183083318272185,0.8935525241926081,109145.01434159974,1.2735856234215073,3.9452381833218775,0.15264337841048928,,1235497.2959230037,,,,2
80,GHC-comp,GHC,comp,27665,86529,18,0.5414920368818107,0.7430442054154824,0.45214220601640837,0.6862987517409155,0.9011386228086029,0.8610806125397285,108243.94914489987,1.2509557390574244,3.91266759967106,0.15994750846652517,,1235156.3633559982,,,,2
81,GHC-compUid,GHC,compUid,27665,86529,18,0.5331807780320367,0.7465746904288911,0.5752190237797247,0.7598943395887028,0.9262606181095246,0.9019358566888183,118490.3191829002,1.369371184029634,4.2830406355648005,0.16808703640282138,,1344809.7621050002,,,,2
82,GHC-sbertbase,GHC,sbertbase,27665,86529,18,0.5568181818181818,0.7550324675324676,0.4334850784016186,0.6802080924367174,0.9154165913609253,0.8705576422999133,116363.99076409999,1.3447975911440093,4.206180761398879,0.1619089062591765,,1317796.6861850019,,,,2
83,GHC-uid,GHC,uid,27665,86529,18,0.5673892554194157,0.7607560969750752,0.5929319371727748,0.7653928985803926,0.9170431953732152,0.8921698930944814,118076.65925059991,1.364590591022662,4.26808817099584,0.1625260398698713,,1335725.475751,,,,2
84,GHC-comp,GHC,comp,24360,50693,6,0.4647364513734224,0.6895076859173616,0.43563636363636365,0.6740653626932382,0.8522238163558106,0.8484818900712682,65539.61931780014,1.2928731642988212,2.6904605631280845,0.19222237380111384,,762721.9450510002,,,,3
85,GHC-compUid,GHC,compUid,24360,50693,6,0.6426735218508999,0.7874425887723165,0.6297488731487444,0.7817904319713802,0.8860422217667555,0.8877282046275505,70036.56967150018,1.3815826577929928,2.875064436432684,0.19495163445052321,,809178.7143400069,,,,3
86,GHC-sbertbase,GHC,sbertbase,24360,50693,6,0.4993646759847522,0.7015396204948199,0.46475838719606033,0.6819353808695972,0.8384914941586391,0.8302255198672264,65856.68852650015,1.299127858412407,2.703476540496722,0.18398812403882236,,760335.8590930019,,,,3
87,GHC-uid,GHC,uid,24360,50693,6,0.6337599024984765,0.7798588843526015,0.6327958624885913,0.781308681869332,0.8768190202910432,0.882163428683003,69402.03088350009,1.3690653716193575,2.8490160461206933,0.18272962968457193,,796555.6358110007,,,,3
88,GHC-comp,GHC,comp,24366,59270,8,0.48177496038034867,0.7024078379214052,0.44237794752573895,0.6809811094015495,0.865983606557377,0.8594390958560068,78811.00487510012,1.329694700102921,3.2344662593408895,0.17496645452336454,,902708.073066,,,,3
89,GHC-compUid,GHC,compUid,24366,59270,8,0.6607369758576874,0.7977518253341699,0.61267217630854,0.7716371740377843,0.8905737704918033,0.8822938467978234,76974.35145759973,1.2987067902412641,3.1590885437741,0.13580324084021783,,858287.4959929939,,,,3
