,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
21,HSBrexit-compUid,HSBrexit,compUid,1120,2240,2,0.8028169014084506,0.8556568167172972,0.6666666666666666,0.7813567593948267,0.875,0.8415178571428571,1532.2570184973301,0.6840433118291652,1.3680866236583304,0.9486961423668357,,37916.75005299476,,,,0
22,HSBrexit-sbertbase,HSBrexit,sbertbase,1120,2240,2,0.7605633802816902,0.8247261345852895,0.6857142857142857,0.7837173579109062,0.8482142857142857,0.828125,1450.408452100237,0.6475037732590343,1.2950075465180686,0.9613256462054258,,38244.707569007005,,,,0
23,HSBrexit-uid,HSBrexit,uid,1120,2240,2,0.787878787878788,0.8496355964710396,0.701923076923077,0.8059033989266549,0.875,0.8616071428571429,1656.2864014995284,0.7394135720980037,1.4788271441960075,1.0152155639278655,,41628.39330098359,,,,0
24,ArMIS-comp,ArMIS,comp,943,2829,3,0.4833333333333334,0.6215116279069768,0.453781512605042,0.6014081308198955,0.671957671957672,0.656084656084656,16465.18609467894,5.82014354707633,17.460430641228992,1.3364907732044442,,206334.1601267457,,,,0
25,ArMIS-compUid,ArMIS,compUid,943,2829,3,0.6193548387096774,0.6773904238391437,0.5777777777777777,0.6499999999999999,0.6878306878306878,0.6649029982363316,16967.494721408002,5.997700502441853,17.99310150732556,1.3541102581084652,,211880.47701690812,,,,0
26,ArMIS-sbertbase,ArMIS,sbertbase,943,2829,3,0.5714285714285714,0.6596638655462186,0.52757793764988,0.6264110050871436,0.6825396825396826,0.6525573192239859,17270.307322999724,6.104739244609306,18.314217733827917,1.3834297495586472,,215877.61216901708,,,,0
27,ArMIS-uid,ArMIS,uid,943,2829,3,0.6027397260273972,0.6763698630136986,0.5463182897862233,0.6392180509239672,0.6931216931216931,0.6631393298059964,18512.41277329973,6.5438009096146095,19.631402728843828,1.405909549841226,,229095.20171100303,,,,0
28,ConvAbuse-comp,ConvAbuse,comp,3414,5056,3,0.6583333333333333,0.7930751173708921,0.6238532110091742,0.7763980093174121,0.8808139534883721,0.880466472303207,8458.254285156727,1.6729142177920742,2.4775202944220056,0.566875412260754,,116209.31376330554,,,,0
29,ConvAbuse-compUid,ConvAbuse,compUid,3414,5056,3,0.7489711934156379,0.8475659144483308,0.7284768211920528,0.8408898912338396,0.9113372093023255,0.9203109815354713,9142.533110899967,1.8082541754153416,2.6779534595489065,0.566622587262623,,123161.61022300003,,,,0
30,ConvAbuse-sbertbase,ConvAbuse,sbertbase,3414,5056,3,0.6359832635983264,0.7797330566012739,0.6153846153846153,0.7716276798792667,0.873546511627907,0.8785228377065112,8151.554641599796,1.6122536870252762,2.3876844292910944,0.5390043360364416,,111244.32081300256,,,,0
